Name,"Case Number",City,State,"Date Filed","Region Assigned",Status,"Date Closed","Reason Closed","No. of Eligible Voters","No. of Employees","Certified Representative","Unit Sought"
"TRW Automotive U.S. LLC – Lebanon TN",10-CA-267488,Lebanon,TN,10/13/2020,"Region 10, Atlanta, Georgia",Open,,,,150,,
"Wismettac Asian Foods, Inc.",21-CA-267598,"Santa Fe Springs",CA,10/13/2020,"Region 21, Los Angeles, California",Open,,,,160,,
"Hydro Conduit LLC d/b/a Rinkers Materials",19-CA-267538,Henderson,NV,10/13/2020,"Region 19, Seattle, Washington",Open,,,,80,,
"Teamsters Local Union No. 781 (Go Airport Express)",13-CB-267526,Rosemont,IL,10/13/2020,"Region 13, Chicago, Illinois",Open,,,,130,,
"Continuing Healthcare at the Ridge",08-CA-267481,"Mineral Ridge",OH,10/13/2020,"Region 08, Cleveland, Ohio",Open,,,,200,,
"The Villa of Stamford",01-CA-267529,Stamford,CT,10/13/2020,"Region 01, Boston, Massachusetts",Open,,,,85,,
"Hotel Restaurant and Club Employees & Bartenders Union Local 6 UNITED-HERE (Adamar Restaurant Corp. d/b/a Starlite Restaurant)",22-CB-267472,Newark,NJ,10/12/2020,"Region 22, Newark, New Jersey",Open,,,,12,,
"Paragon Systems, Inc.",21-CA-267599,Covina,CA,10/09/2020,"Region 21, Los Angeles, California",Open,,,,350,,
"Mountain View Care Center",04-CA-267419,Scranton,PA,10/09/2020,"Region 04, Philadelphia, Pennsylvania",Open,,,,160,,
"Montefiore New Rochelle",02-CA-267506,"New Rochelle",NY,10/09/2020,"Region 02, New York, New York",Open,,,,245,,
"21st Century  Distributors Inc.",22-CA-267392,Edison,NJ,10/09/2020,"Region 22, Newark, New Jersey",Open,,,,35,,
"Tuckahoe Recreation Club",05-CA-267420,"Mc Lean",VA,10/09/2020,"Region 05, Baltimore, Maryland",Open,,,,40,,
"American Minutemen Sewer & Drain Service, Inc.",02-CA-267503,"New City",NY,10/09/2020,"Region 02, New York, New York",Open,,,,20,,
"Packaging Corporation of America",25-CA-267620,Vincennes,IN,10/09/2020,"Region 25, Indianapolis, Indiana",Open,,,,75,,
"Service Employees International Union, United Healthcare Workers - West",32-CB-267501,Fremont,CA,10/09/2020,"Region 32, Oakland, California",Open,,,,100,,
"UNFI West, Inc. a/k/a United Natural Foods, Inc.",21-CA-267413,"Moreno Valley",CA,10/08/2020,"Region 21, Los Angeles, California",Open,,,,400,,
"United Natural Foods, Inc.",21-CA-267412,"Moreno Valley",CA,10/08/2020,"Region 21, Los Angeles, California",Open,,,,400,,
"United Parcel Service",15-CA-267466,"Little Rock",AR,10/08/2020,"Region 15, New Orleans, Louisiana",Open,,,,200,,
"Cheetah Precision, LLC and Minneapolis Washer and Stamping Inc., single employers, and/or alter egos",18-CA-267367,Minneapolis,MN,10/08/2020,"Region 18, Minneapolis, Minnesota",Open,,,,50,,
"United States Postal Service",05-CA-267360,"Upper Marlboro",MD,10/08/2020,"Region 05, Baltimore, Maryland",Open,,,,100,,
"Mondelez Intl.-Portland Bakery",19-CA-267306,Portland,OR,10/08/2020,"Region 19, Seattle, Washington",Open,,,,210,,
"National Ambulance and Oxygen Services, Inc  d/b/a American Medical Response- Rochester",03-CA-267296,Rochester,NY,10/08/2020,"Region 03, Buffalo, New York",Open,,,,220,,
"Huckstep Holding Corp. DBA TechWise",19-CA-267390,"El Paso",TX,10/08/2020,"Region 19, Seattle, Washington",Open,,,,16,,
"SEIU Local 73 (Regional Mental Health)",13-CB-267303,Merrillville,IN,10/07/2020,"Region 13, Chicago, Illinois",Open,,,,300,,
"Service Employees International Union",32-CA-267307,"San Jose",CA,10/07/2020,"Region 32, Oakland, California",Open,,,,110,,
"Kroger Texas L.P.",16-CA-267525,Shenandoah/Coppell,TX,10/07/2020,"Region 16, Fort Worth, Texas",Open,,,,16000,,
"Sierra Nevada Memorial Hospital",20-CA-267257,"Grass Valley",CA,10/07/2020,"Region 20, San Francisco, California",Open,,,,300,,
"Kroger Texas L.P.",15-CA-267430,Shreveport,LA,10/07/2020,"Region 15, New Orleans, Louisiana",Open,,,,1200,,
"Sysco Chicago",13-CA-267286,"Des Plaines",IL,10/07/2020,"Region 13, Chicago, Illinois",Open,,,,800,,
"United States Postal Service",16-CA-267445,Dallas,TX,10/07/2020,"Region 16, Fort Worth, Texas",Open,,,,50,,
"St Joseph Health System at Santa Rosa Memorial Hospital",20-CA-267258,"Santa Rosa",CA,10/07/2020,"Region 20, San Francisco, California",Open,,,,100,,
"United States Postal Service",25-CA-267263,Indianapolis,IN,10/06/2020,"Region 25, Indianapolis, Indiana",Open,,,,300,,
"Service Employees International Union, Local 1(Jel-Sert)",13-CB-267217,"West Chicago",IL,10/06/2020,"Region 13, Chicago, Illinois",Open,,,,1250,,
"Planned Companies, Planned Building Services, and Planned Lifestyle Services, as a single employer",02-CA-267415,"New York",NY,10/05/2020,"Region 02, New York, New York",Open,,,,6,,
"CARDS NEO, LLC",14-CA-267122,Fairland,OK,10/05/2020,"Region 14, Saint Louis, Missouri",Open,,,,25,,
"JENNIFERMAKER,  LLC",05-CA-267142,"La Plata",MD,10/05/2020,"Region 05, Baltimore, Maryland",Open,,,,22,,
Volvo,15-CA-267092,Byhalia,MS,10/05/2020,"Region 15, New Orleans, Louisiana",Open,,,,500,,
"United States Postal Service",10-CA-267149,Greenville,SC,10/05/2020,"Region 10, Atlanta, Georgia",Open,,,,75,,
"EGM BUILDERS AND CONSTRUCTION SERVICES ,LLC / EGM MECHANICAL LLC / E&R HEATING AND COOLING / SHEET METAL LLC.",22-CA-267219,Carlstadt,NJ,10/05/2020,"Region 22, Newark, New Jersey",Open,,,,100,,
"United Parcel Service",19-CA-267209,Tucson,AZ,10/02/2020,"Region 19, Seattle, Washington",Open,,,,200,,
"Johnston Fire Services LLC",10-CA-267062,Paducah,KY,10/02/2020,"Region 10, Atlanta, Georgia",Open,,,,8,,
"LCS Community Employment, LLC",13-CA-267103,Mokena,IL,10/02/2020,"Region 13, Chicago, Illinois",Open,,,,50,,
UPS,21-CA-267127,"San Marcos",CA,10/02/2020,"Region 21, Los Angeles, California",Open,,,,200,,
"Red Rock Resorts d/b/a Red Rock Casino Resort & Spa",28-CA-267067,"Las Vegas",NV,10/02/2020,"Region 28, Phoenix, Arizona",Open,,,,1350,,
"North Texas Investment Group d/b/a Whitehawk Worldwide",28-CA-267073,"El Paso",TX,10/02/2020,"Region 28, Phoenix, Arizona",Open,,,,20,,
"North Texas Investment Group d/b/a Whitehawk Worldwide",28-CA-267073,"El Paso",TX,10/02/2020,"Region 28, Phoenix, Arizona",Open,,,,20,,
"Red Rock Resorts d/b/a Red Rock Casino Resort & Spa",28-CA-267067,"Las Vegas",NV,10/02/2020,"Region 28, Phoenix, Arizona",Open,,,,1350,,
"FREEWIRE TECHNOLOGIES INC.",32-CA-267036,"San Leandro",CA,10/02/2020,"Region 32, Oakland, California",Open,,,,40,,
"FCA US LLC",18-CA-267053,Minneapolis,MN,10/02/2020,"Region 18, Minneapolis, Minnesota",Open,,,,65,,
"Asarco LLC",28-CA-267000,Sahuarita,AZ,10/01/2020,"Region 28, Phoenix, Arizona",Open,,,,1750,,
"EGM BUILDERS AND CONSTRUCTION SERVICES LLC / EGM MECHANICAL LLC / E&R HEATING AND COOLING / SHEET METAL LLC .",22-CA-266965,Newark,NJ,10/01/2020,"Region 22, Newark, New Jersey",Open,,,,3,,
"EGM BUILDERS AND CONSTRUCTION SERVICES LLC / EGM MECHANICAL LLC./ E&R HEATING AND COOLING /SHEET METAL LLC .",22-CA-266948,Newark,NJ,10/01/2020,"Region 22, Newark, New Jersey",Open,,,,3,,
"Detroit Thermal Systems",07-CA-267052,Romulus,MI,10/01/2020,"Region 07, Detroit, Michigan",Open,,,,433,,
"United Government Security Officers of America Local 171 (Paragon Systems, Inc.)",22-CB-266972,Newark,NJ,10/01/2020,"Region 22, Newark, New Jersey",Open,,,,100,,
"G4S Secure Solutions",18-CA-267083,Minneapolis,MN,10/01/2020,"Region 18, Minneapolis, Minnesota",Open,,,,10,,
"Princeville Utilities Company, Inc.",20-CA-266970,Princeville,HI,10/01/2020,"Region 20, San Francisco, California",Open,,,,9,,
"Regency Grande Post-Acute, Rehab & Nursing Center",22-CA-266950,Dover,NJ,10/01/2020,"Region 22, Newark, New Jersey",Open,,,,5,,
"Detroit Thermal Systems",07-CA-267048,Romulus,MI,10/01/2020,"Region 07, Detroit, Michigan",Open,,,,433,,
"Instituto del Progreso Latino",13-CA-266930,Chicago,IL,10/01/2020,"Region 13, Chicago, Illinois",Open,,,,100,,
"ADT, LLC",18-CA-266951,Janesville,WI,10/01/2020,"Region 18, Minneapolis, Minnesota",Open,,,,7,,
"Sunrise Hospital & Medical Center and Sunrise Children's Hospital",28-CA-266905,"Las Vegas",NV,09/30/2020,"Region 28, Phoenix, Arizona",Open,,,,2790,,
"MountainView Hospital",28-CA-267009,"Las Vegas",NV,09/30/2020,"Region 28, Phoenix, Arizona",Open,,,,636,,
"Quaker Oats Manufacturing - Pepsico",25-CA-266862,Danville,IL,09/30/2020,"Region 25, Indianapolis, Indiana",Open,,,,414,,
"Kaiser Permanente Hawai'i Region",20-CA-266891,Honolulu,HI,09/30/2020,"Region 20, San Francisco, California",Open,,,,2277,,
"Kaiser Permanente Hawai'i Region",20-CA-266874,Honolulu,HI,09/30/2020,"Region 20, San Francisco, California",Open,,,,2277,,
"SEIU USWW  (G2 Secure Staff LLC)",31-CB-266938,"Los Angeles",CA,09/30/2020,"Region 31, Los Angeles, California",Open,,,,50,,
"EGM BUILDERS & CONSTRUCTION SERVICES LLC / EGM MECHANICAL LLC. / E&R HEATING AND COOLING / SHEET METAL LLC .",22-CA-266916,"Jersey City",NJ,09/30/2020,"Region 22, Newark, New Jersey",Open,,,,4,,
"YRC Freight",15-CA-266914,Memphis,TN,09/30/2020,"Region 15, New Orleans, Louisiana",Open,,,,100,,
"Auto Warehousing Company",07-CA-267018,Dearborn,MI,09/30/2020,"Region 07, Detroit, Michigan",Open,,,,100,,
"Ecology Services",05-CA-266900,Columbia,MD,09/30/2020,"Region 05, Baltimore, Maryland",Open,,,,50,,
"Serta Simmons Bedding & Subsidiaries",04-CA-266838,Hazleton,PA,09/30/2020,"Region 04, Philadelphia, Pennsylvania",Open,,,,5000,,
"Kaiser Permanente Hawai'i Region",20-CA-266888,Honolulu,HI,09/30/2020,"Region 20, San Francisco, California",Open,,,,2277,,
"Southern Hills Hospital & Medical Center",28-CA-267003,"Las Vegas",NV,09/30/2020,"Region 28, Phoenix, Arizona",Open,,,,718,,
"Veolia North America",18-CA-266871,"Oak Creek",WI,09/30/2020,"Region 18, Minneapolis, Minnesota",Open,,,,100,,
Greyhound,01-CA-266781,Boston,MA,09/29/2020,"Region 01, Boston, Massachusetts",Open,,,,30,,
"Big Steaks Management, LLC d/b/a Ruth's Chris Steakhouse Pikesville",05-CA-266944,Pikesville,MD,09/29/2020,"Region 05, Baltimore, Maryland",Open,,,,100,,
"NALC (United States Postal Service)",13-CB-266774,Glenview,IL,09/29/2020,"Region 13, Chicago, Illinois",Open,,,,100,,
"Carpenter Latrobe Specialty Metals",06-CA-266865,Latrobe,PA,09/29/2020,"Region 06, Pittsburgh, Pennsylvania",Open,,,,500,,
"Lee Enterprises, Inc.",05-CA-266744,Richmond,VA,09/29/2020,"Region 05, Baltimore, Maryland",Open,,,,150,,
"Desert Regional Medical Center",21-CA-266805,"Palm Springs",CA,09/28/2020,"Region 21, Los Angeles, California",Open,,,,100,,
"CR&R Environmental Services",21-CA-266811,Perris,CA,09/28/2020,"Region 21, Los Angeles, California",Open,,,,200,,
"United States Postal Service",10-CA-266839,Atlanta,GA,09/28/2020,"Region 10, Atlanta, Georgia",Open,,,,200,,
"NP Palace LLC d/b/a Palace Station Hotel & Casino",28-CA-266987,"Las Vegas",NV,09/28/2020,"Region 28, Phoenix, Arizona",Open,,,,1350,,
"Grote Industries, Inc.",25-CA-266770,Madison,IN,09/28/2020,"Region 25, Indianapolis, Indiana",Open,,,,187,,
"United States Postal Service",20-CA-266784,Petaluma,CA,09/28/2020,"Region 20, San Francisco, California",Open,,,,44,,
"United States Postal Service",10-CA-266671,Charlotte,NC,09/28/2020,"Region 10, Atlanta, Georgia",Open,,,,129,,
"Kellogg Company",15-CA-266762,Memphis,TN,09/28/2020,"Region 15, New Orleans, Louisiana",Open,,,,226,,
"Mondelez International",10-CA-266663,Norcross,GA,09/25/2020,"Region 10, Atlanta, Georgia",Open,,,,50,,
"MJB Specialty LLC, Blockchains, Inc., and/or Jeffrey Berns, sole proprietor, joint employers",19-CA-266693,Sparks,NV,09/25/2020,"Region 19, Seattle, Washington",Open,,,,12,,
"Heartland Coca-Cola Bottling Company",14-CA-266654,Lenexa,KS,09/25/2020,"Region 14, Saint Louis, Missouri",Open,,,,250,,
"United States Postal Service",13-CA-266633,Glenwood,IL,09/25/2020,"Region 13, Chicago, Illinois",Open,,,,60,,
"Barnard College",02-CA-266868,"New York",NY,09/25/2020,"Region 02, New York, New York",Open,,,,500,,
"EGM BUILDERS & CONSTRUCTION SERVICES LLC / EGM MECHANICAL LLC / E&R HEATING AND COOLING / SHEET METAL LLC.",22-CA-266653,"Jersey City",NJ,09/25/2020,"Region 22, Newark, New Jersey",Open,,,,4,,
"United States Postal Service",08-CA-266626,Canton,OH,09/25/2020,"Region 08, Cleveland, Ohio",Open,,,,175,,
WestRock,18-CA-266583,"Saint Paul",MN,09/24/2020,"Region 18, Minneapolis, Minnesota",Open,,,,260,,
"Laborers' International Union of North America, Local 872 (Ascent Works LLC)",28-CB-267014,"Las Vegas",NV,09/24/2020,"Region 28, Phoenix, Arizona",Open,,,,14,,
"Ascent Works LLC",28-CA-266995,"Las Vegas",NV,09/24/2020,"Region 28, Phoenix, Arizona",Open,,,,14,,
"Kaiser Permanente",19-CA-266642,"San Leandro",CA,09/24/2020,"Region 19, Seattle, Washington",Open,,,,500,,
"Pro Choice Beauty Care, Inc.",29-CA-266740,Bellport,NY,09/24/2020,"Region 29, Brooklyn, New York",Open,,,,10,,
"United Hospital",18-CA-266606,"Saint Paul",MN,09/24/2020,"Region 18, Minneapolis, Minnesota",Open,,,,1300,,
"United States Postal Service",10-CA-266623,Atlanta,GA,09/24/2020,"Region 10, Atlanta, Georgia",Open,,,,200,,
"Control Office Services, Inc.",29-CA-266652,"Long Island City",NY,09/24/2020,"Region 29, Brooklyn, New York",Open,,,,20,,
"ABM Facility Services",15-CA-266609,Memphis,TN,09/23/2020,"Region 15, New Orleans, Louisiana",Open,,,,50,,
"Collierville Nursing and Rehabilitation, LLC",15-CA-266558,Collierville,TN,09/23/2020,"Region 15, New Orleans, Louisiana",Open,,,,15,,
"BARONS BUS,  INC.",09-CA-266622,MIDDLETOWN,OH,09/23/2020,"Region 09, Cincinnati, Ohio",Open,,,,15,,
"United States Postal Service",31-CA-266644,Denver,CO,09/23/2020,"Region 31, Los Angeles, California",Open,,,,325,,
"The American Bottling Company d/b/a Keurig Dr Pepper",13-CA-266571,Chicago,IL,09/23/2020,"Region 13, Chicago, Illinois",Open,,,,60,,
"United States Postal Service",31-CA-266569,Glendale,CA,09/22/2020,"Region 31, Los Angeles, California",Open,,,,80,,
"NP Palace LLC d/b/a Palace Station Hotel & Casino",28-CA-266556,"Las Vegas",NV,09/22/2020,"Region 28, Phoenix, Arizona",Open,,,,1350,,
"American Postal Workers Union METRO NEW YORK",22-CB-266499,"Jersey City",NJ,09/22/2020,"Region 22, Newark, New Jersey",Open,,,,12,,
"Gavilon Grain LLC",25-CA-266530,Maceo,KY,09/22/2020,"Region 25, Indianapolis, Indiana",Open,,,,1,,
"United States Postal Service",19-CA-266568,Redmond,WA,09/22/2020,"Region 19, Seattle, Washington",Open,,,,100,,
"Mountain View Care Center",04-CA-266464,Scranton,PA,09/22/2020,"Region 04, Philadelphia, Pennsylvania",Open,,,,170,,
"WHOLE FOODS MARKET INC.",01-CA-266440,Cambridge,MA,09/22/2020,"Region 01, Boston, Massachusetts",Open,,,,20,,
"International Longshoremen's Association, AFL-CIO, Local 1475 (Georgia Stevedore Association)",10-CB-266481,Savannah,GA,09/22/2020,"Region 10, Atlanta, Georgia",Open,,,,1000,,
"Whole Foods Market, Inc.",05-CA-266403,Columbia,MD,09/21/2020,"Region 05, Baltimore, Maryland",Open,,,,200,,
"Howard University Hospital",05-CA-266421,Washington,DC,09/21/2020,"Region 05, Baltimore, Maryland",Open,,,,200,,
"Whole Foods Market, Inc.",32-CA-266442,Berkeley,CA,09/21/2020,"Region 32, Oakland, California",Open,,,,100,,
"Houston Refining, LP",16-CA-266441,Houston,TX,09/21/2020,"Region 16, Fort Worth, Texas",Open,,,,477,,
"Paragon Systems, Inc.",05-CA-266402,Herndon,VA,09/21/2020,"Region 05, Baltimore, Maryland",Open,,,,35,,
"M Health Fairview d/b/a Lakes Medical Center and Clinics",18-CA-266454,"Saint Paul",MN,09/21/2020,"Region 18, Minneapolis, Minnesota",Open,,,,300,,
"Johnston Fire Services LLC",10-CA-266413,Paducah,KY,09/21/2020,"Region 10, Atlanta, Georgia",Open,,,,8,,
"Edward Hotel",13-CA-266349,Chicago,IL,09/21/2020,"Region 13, Chicago, Illinois",Open,,,,2,,
"Kinder Morgan, Inc.",16-CA-266433,Houston,TX,09/21/2020,"Region 16, Fort Worth, Texas",Open,,,,225,,
"Operating Engineers 324 (Professional Business Providers Inc)",07-CB-266444,Detroit,MI,09/21/2020,"Region 07, Detroit, Michigan",Open,,,,1,,
"Midway Staffing",13-CA-266361,Berwyn,IL,09/21/2020,"Region 13, Chicago, Illinois",Open,,,,200,,
"M Health Fairview d/b/a Lakes Medical Center and Clinics",18-CA-266418,"Saint Paul",MN,09/21/2020,"Region 18, Minneapolis, Minnesota",Open,,,,300,,
"Pain Relief Centers",10-CA-266324,Conover,NC,09/18/2020,"Region 10, Atlanta, Georgia",Open,,,,12,,
"United States Postal Service",15-CA-266295,Lafayette,LA,09/18/2020,"Region 15, New Orleans, Louisiana",Open,,,,60,,
UNFI,06-CA-266613,"New Stanton",PA,09/18/2020,"Region 06, Pittsburgh, Pennsylvania",Open,,,,300,,
"AJNC Industries LLC d/b/a Clark Welding and Fabricating",28-CA-266358,"Las Vegas",NV,09/18/2020,"Region 28, Phoenix, Arizona",Open,,,,15,,
"Crews of California",31-CA-266375,"Los Angeles",CA,09/18/2020,"Region 31, Los Angeles, California",Open,,,,250,,
"Aramark Uniform Services",32-CA-266538,Stockton,CA,09/18/2020,"Region 32, Oakland, California",Open,,,,100,,
"United States Postal Service",04-CA-266285,"New Castle",DE,09/18/2020,"Region 04, Philadelphia, Pennsylvania",Open,,,,500,,
"Advanced Structural Engineering, Inc.",28-CA-266347,Scottsdale,AZ,09/17/2020,"Region 28, Phoenix, Arizona",Open,,,,12,,
"Ford Motor Co.",10-CA-266242,Mcdonough,GA,09/17/2020,"Region 10, Atlanta, Georgia",Open,,,,42,,
"KT-Grant, Inc.",13-CA-266278,Hammond,IN,09/17/2020,"Region 13, Chicago, Illinois",Open,,,,69,,
"United States Postal Service",18-CA-266260,Milwaukee,WI,09/17/2020,"Region 18, Minneapolis, Minnesota",Open,,,,1200,,
"Art to Frames, Inc.",29-CA-266298,Brooklyn,NY,09/17/2020,"Region 29, Brooklyn, New York",Open,,,,150,,
"Santa Fe T, LLC d/b/a Toyota of Santa Fe",28-CA-266342,"Santa Fe",NM,09/17/2020,"Region 28, Phoenix, Arizona",Open,,,,25,,
"UPS Freight",15-CA-266276,Memphis,TN,09/17/2020,"Region 15, New Orleans, Louisiana",Open,,,,350,,
"Printing Publishing & Media Workers Sector of CWA Local 22 (Part-Time Mailers Unit) (Pittsburgh Post-Gazette)",06-CB-266355,Clinton,PA,09/16/2020,"Region 06, Pittsburgh, Pennsylvania",Open,,,,350,,
"Miller Plastic Products, Inc.",06-CA-266234,Burgettstown,PA,09/16/2020,"Region 06, Pittsburgh, Pennsylvania",Open,,,,30,,
"The Newspaper Guild of Pittsburgh, Local 38061 (Pittsburgh Post-Gazette)",06-CB-266329,Clinton,PA,09/16/2020,"Region 06, Pittsburgh, Pennsylvania",Open,,,,350,,
"Pittsburgh Typographical Union, No. 7 (Advertising Unit) (Pittsburgh Post-Gazette)",06-CB-266287,Clinton,PA,09/16/2020,"Region 06, Pittsburgh, Pennsylvania",Open,,,,350,,
"Miller Plastic Products, Inc.",06-CA-266234,Burgettstown,PA,09/16/2020,"Region 06, Pittsburgh, Pennsylvania",Open,,,,30,,
"Jersey Shore University Medical Center, Hackensack Meridian Health",22-CA-266217,Neptune,NJ,09/16/2020,"Region 22, Newark, New Jersey",Open,,,,4000,,
"Golden Mile Hotels, LLC d/b/a Eurostars Magnificent Mile Hotel",13-CA-266208,Chicago,IL,09/16/2020,"Region 13, Chicago, Illinois",Open,,,,33,,
"International Brotherhood of Teamsters, Local 211 (Pittsburgh Post-Gazette)",06-CB-266296,Clinton,PA,09/16/2020,"Region 06, Pittsburgh, Pennsylvania",Open,,,,350,,
"Graphic Communications International Union GCC/IBT, Local 24M/9N (Pittsburgh Post-Gazette)",06-CB-266305,Clinton,PA,09/16/2020,"Region 06, Pittsburgh, Pennsylvania",Open,,,,350,,
"Printing Publishing & Media Workers Sector of CWA Local 22 (Full-Time Mailers Unit) (Pittsburgh Post-Gazette)",06-CB-266326,Clinton,PA,09/16/2020,"Region 06, Pittsburgh, Pennsylvania",Open,,,,350,,
"United States Postal Service",13-CA-266213,Hammond,IN,09/16/2020,"Region 13, Chicago, Illinois",Open,,,,65,,
"Frazer & Jones",03-CA-266148,Syracuse,NY,09/16/2020,"Region 03, Buffalo, New York",Open,,,,100,,
"American Postal Workers Union (USPS Kearny)",22-CB-266173,Kearny,NJ,09/16/2020,"Region 22, Newark, New Jersey",Open,,,,12,,
"Haven Salon + Day Spa, Inc.",18-CA-266091,Muskego,WI,09/15/2020,"Region 18, Minneapolis, Minnesota",Open,,,,20,,
"North Texas Investment Group d/b/a Whitehawk Worldwide",28-CA-266125,"El Paso",TX,09/15/2020,"Region 28, Phoenix, Arizona",Open,,,,20,,
"Volvo Group North America, LLC",15-CA-266147,Byhalia,MS,09/15/2020,"Region 15, New Orleans, Louisiana",Open,,,,547,,
"Raytheon Technologies",01-CA-266169,Andover,MA,09/15/2020,"Region 01, Boston, Massachusetts",Open,,,,30,,
"EGM BUILDERS & CONSTRUCTION SERVICES LLC / EGM MECHANICAL / E& R HEATING & COOLING HVAC/ SHEET METAL LLC",22-CA-266082,Newark,NJ,09/15/2020,"Region 22, Newark, New Jersey",Open,,,,6,,
"Santa Fe T, LLC d/b/a Toyota of Santa Fe",28-CA-266114,"Santa Fe",NM,09/15/2020,"Region 28, Phoenix, Arizona",Open,,,,100,,
"United States Postal Service",15-CA-266168,"Fort Walton Beach",FL,09/15/2020,"Region 15, New Orleans, Louisiana",Open,,,,50,,
"North Texas Investment Group d/b/a Whitehawk Worldwide",28-CA-266131,"El Paso",TX,09/15/2020,"Region 28, Phoenix, Arizona",Open,,,,20,,
"Oaks Corner",32-CA-266191,Emeryville,CA,09/15/2020,"Region 32, Oakland, California",Open,,,,69,,
"Mondelez Intl.-Portland Bakery",19-CA-266077,Portland,OR,09/15/2020,"Region 19, Seattle, Washington",Open,,,,210,,
"Temple University Hospital",04-CA-266059,Philadelphia,PA,09/14/2020,"Region 04, Philadelphia, Pennsylvania",Open,,,,3000,,
"United Parcel Service (UPS) Freight",15-CA-265994,Memphis,TN,09/14/2020,"Region 15, New Orleans, Louisiana",Open,,,,200,,
"ST. BERNARD SOAP COMPANY",09-CA-266094,Cincinnati,OH,09/14/2020,"Region 09, Cincinnati, Ohio",Open,,,,350,,
"Ventra Ionia Main, LLC",07-CA-266014,Ionia,MI,09/14/2020,"Region 07, Detroit, Michigan",Open,,,,1200,,
"General Teamsters (Excluding Mailers), State of Arizona, Local Union 104, a/w International Brotherhood of Teamsters (United Parcel Service, Inc.)",28-CB-266106,Nogales,AZ,09/14/2020,"Region 28, Phoenix, Arizona",Open,,,,300,,
"FLEX N GATE (Chicago)",13-CA-265967,Chicago,IL,09/14/2020,"Region 13, Chicago, Illinois",Open,,,,400,,
"Ventra Ionia Main, LLC",07-CA-266012,Ionia,MI,09/14/2020,"Region 07, Detroit, Michigan",Open,,,,1200,,
"International Converter (Novolex)",15-CA-266031,Iuka,MS,09/14/2020,"Region 15, New Orleans, Louisiana",Open,,,,48,,
"Hussmann Corporation, Action Logistix and Employer Solutions Staffing Group, LLC",14-CA-265995,Bridgeton,MO,09/14/2020,"Region 14, Saint Louis, Missouri",Open,,,,500,,
"ILWU Local 19 (SSA Terminals, LLC)",19-CB-266044,Seattle,WA,09/11/2020,"Region 19, Seattle, Washington",Open,,,,200,,
"1621 Route 22 West Operating Co., LLC, d/b/a Somerset Valley Rehabilitation and Nursing Center",22-CA-265950,"Bound Brook",NJ,09/11/2020,"Region 22, Newark, New Jersey",Open,,,,12,,
"International Longshore and Warehouse Union, Local 19 (SSA Terminals, LLC)",19-CB-266043,Seattle,WA,09/11/2020,"Region 19, Seattle, Washington",Open,,,,200,,
"International Longshore and Warehouse Union (Pacific Maritime Association/Stevedore Services of America)",32-CB-266080,Oakland,CA,09/11/2020,"Region 32, Oakland, California",Open,,,,1000,,
"International Longshore Warehouse Union Local 34 (Pacific Maritime Association/Stevedore Services of America)",32-CB-266102,Oakland,CA,09/11/2020,"Region 32, Oakland, California",Open,,,,1000,,
"Sinai Hospital of Baltimore, Inc. d/b/a VSP",05-CA-265997,Baltimore,MD,09/11/2020,"Region 05, Baltimore, Maryland",Open,,,,400,,
Dupont,05-CA-265929,Richmond,VA,09/11/2020,"Region 05, Baltimore, Maryland",Open,,,,1000,,
"Sal's Hauling",22-CA-265986,Carlstadt,NJ,09/11/2020,"Region 22, Newark, New Jersey",Open,,,,18,,
"SPECIAL METALS",09-CA-266119,Huntington,WV,09/11/2020,"Region 09, Cincinnati, Ohio",Open,,,,450,,
"Orlandi, Inc.",29-CA-266056,Farmingdale,NY,09/10/2020,"Region 29, Brooklyn, New York",Open,,,,40,,
"Howmet Corporation",07-CA-265902,Whitehall,MI,09/10/2020,"Region 07, Detroit, Michigan",Open,,,,2600,,
"American Sugar Refining, Inc.",05-CA-265881,Baltimore,MD,09/10/2020,"Region 05, Baltimore, Maryland",Open,,,,200,,
"The Riverview Nursing Center, LLC d/b/a The Riverview Care Center",14-CA-265900,"Saint Louis",MO,09/10/2020,"Region 14, Saint Louis, Missouri",Open,,,,75,,
"SODEXO SERVICES",01-CA-265847,"North Andover",MA,09/09/2020,"Region 01, Boston, Massachusetts",Open,,,,100,,
"Community Partners",21-CA-265919,"Los Angeles",CA,09/09/2020,"Region 21, Los Angeles, California",Open,,,,50,,
"Kaiser Baldwin Park Medical Center",21-CA-265878,"Baldwin Park",CA,09/09/2020,"Region 21, Los Angeles, California",Open,,,,2000,,
"North Texas Investment Group d/b/a Whitehawk Worldwide",28-CA-265886,"El Paso",TX,09/09/2020,"Region 28, Phoenix, Arizona",Open,,,,20,,
"Kroger Texas L.P.",16-CA-265972,Shenandoah,TX,09/09/2020,"Region 16, Fort Worth, Texas",Open,,,,16000,,
"Local 713 I.B.O.T.U.(Grater Shield)",29-CB-265910,Brooklyn,NY,09/09/2020,"Region 29, Brooklyn, New York",Open,,,,5,,
"Local 713 I.B.O.T.U.(Opus Operations)",29-CB-265904,Brooklyn,NY,09/09/2020,"Region 29, Brooklyn, New York",Open,,,,6,,
"Community ISP, Inc.",08-CA-265724,Toledo,OH,09/08/2020,"Region 08, Cleveland, Ohio",Open,,,,35,,
"California College of the Arts",32-CA-265813,Oakland,CA,09/08/2020,"Region 32, Oakland, California",Open,,,,50,,
