OID|RECEIPT_TYPE|PURPOSE|DATE|AMOUNT|PAYER_PAYEE_ID|RPT_ID
764171|1201|DUES REBATE|2021-01-26|6840|2818133|777852
764172|1201|DUES REBATE|2021-02-23|6795|2818133|777852
764173|1201|DUES REBATE|2021-03-26|6705|2818133|777852
764174|1201|DUES REBATE|2021-04-28|6615|2818133|777852
764175|1201|DUES REBATE|2021-05-21|7065|2818133|777852
764176|1201|DUES REBATE|2021-06-24|7020|2818133|777852
764233|1201|Subsidy|2020-07-23|49950|2818182|777877
764234|1201|Subsidy|2021-02-04|49950|2818182|777877
764235|1201|Member PAC|2021-06-18|5488|2818183|777877
764236|1201|REIMB OF SHARED OFFICE EXPENSES|2020-09-11|12408|2818186|777905
764237|1201|REIMB OF SHARED OFFICE EXPENSES|2020-11-13|6555|2818186|777905
764238|1201|REIMB OF SHARED OFFICE EXPENSES|2020-12-18|6956|2818186|777905
764239|1201|REIMB OF SHARED OFFICE EXPENSES|2021-01-08|8309|2818186|777905
764240|1201|REIMB OF SHARED OFFICE EXPENSES|2021-02-19|6265|2818186|777905
764241|1201|REIMB OF SHARED OFFICE EXPENSES|2021-03-05|6177|2818186|777905
764242|1201|REIMB OF SHARED OFFICE EXPENSES|2021-03-16|8186|2818186|777905
764243|1201|REIMB OF SHARED OFFICE EXPENSES|2021-04-30|9352|2818186|777905
764244|1201|REIMB OF SHARED OFFICE EXPENSES|2021-05-21|6726|2818186|777905
764245|1201|BENEFIT RECEIVED FOR DISBURSEMENT TO BENEFICIARY|2020-08-19|20000|2818191|777905
764246|1201|BENEFIT RECEIVED FOR DISBURSEMENT TO BENEFICIARY|2020-12-17|5000|2818191|777905
764247|1201|BENEFIT RECEIVED FOR DISBURSEMENT TO BENEFICIARY|2021-02-08|5000|2818191|777905
764248|1201|BENEFIT RECEIVED FOR DISBURSEMENT TO BENEFICIARY|2021-03-15|5000|2818191|777905
764249|1201|BENEFIT RECEIVED FOR DISBURSEMENT TO BENEFICIARY|2021-06-28|20000|2818191|777905
764250|1201|Clerical Service Income|2020-07-14|6875|2818195|777906
764251|1201|Clerical Service Income|2020-08-25|7064|2818195|777906
764252|1201|Clerical Service Income|2020-09-17|6743|2818195|777906
764253|1201|Clerical Service Income|2020-10-13|6743|2818195|777906
764254|1201|Clerical Service Income|2020-11-12|7064|2818195|777906
764255|1201|Clerical Service Income|2020-12-15|6101|2818195|777906
764256|1201|Clerical Service Income|2021-01-12|8243|2818195|777906
764257|1201|Clerical Service Income|2021-02-09|6422|2818195|777906
764258|1201|Clerical Service Income|2021-03-11|6422|2818195|777906
764259|1201|Clerical Service Income|2021-04-13|7385|2818195|777906
764260|1201|Clerical Service Income|2021-05-11|7064|2818195|777906
764261|1201|Clerical Service Income|2021-06-15|6422|2818195|777906
764262|1201|Clerical Service Income|2020-07-14|5591|2818196|777906
764263|1201|Clerical Service Income|2020-08-25|5745|2818196|777906
764264|1201|Clerical Service Income|2020-09-17|5479|2818196|777906
764265|1201|Clerical Service Income|2020-10-31|5479|2818196|777906
764266|1201|Clerical Service Income|2020-11-12|5745|2818196|777906
764267|1201|Clerical Service Income|2021-01-12|6979|2818196|777906
764268|1201|Clerical Service Income|2021-02-09|5322|2818196|777906
764269|1201|Clerical Service Income|2021-03-11|5322|2818196|777906
764270|1201|Clerical Service Income|2021-04-13|6011|2818196|777906
764271|1201|Clerical Service Income|2021-05-11|5745|2818196|777906
764272|1201|Clerical Service Income|2021-06-15|5212|2818196|777906
764273|1201|Reimbursements audit fees|2021-06-15|11289|2818196|777906
764274|1201|Organizing Subsidy|2020-07-09|10297|2818197|777906
764275|1201|Organizing Subsidy|2020-08-13|10297|2818197|777906
764276|1201|Organizing Subsidy|2020-09-17|10673|2818197|777906
764277|1201|Organizing Subsidy|2020-10-13|10673|2818197|777906
764278|1201|Organizing Subsidy|2020-11-12|10673|2818197|777906
764279|1201|Organizing Subsidy|2020-12-15|10673|2818197|777906
764280|1201|Organizing Subsidy|2021-01-14|10297|2818197|777906
764281|1201|Organizing Subsidy|2021-02-11|12576|2818197|777906
764282|1201|Organizing Subsidy|2021-03-30|12906|2818197|777906
764283|1201|Organizing Subsidy|2021-04-13|12576|2818197|777906
764284|1201|Organizing Subsidy|2021-05-06|12620|2818197|777906
764285|1201|Organizing Subsidy|2021-06-10|12576|2818197|777906
764286|1201|Settlement received  grievance|2021-04-13|12500|2818198|777906
764287|1201|COVID-19 Relief Fund|2020-05-04|87869|2818229|777929
764288|1201|COVID-19 Relief Fund|2020-05-05|5000|2818229|777929
764289|1201|COVID-19 Relief Fund|2020-05-14|15190|2818229|777929
764290|1201|COVID-19 Relief Fund|2020-05-19|15000|2818229|777929
764291|1201|COVID-19 Relief Fund|2020-06-02|13962|2818229|777929
764292|1201|COVID-19 Relief Fund|2020-06-04|30380|2818229|777929
764293|1201|COVID-19 Relief Fund|2020-06-06|6500|2818229|777929
764294|1201|COVID-19 Relief Fund|2020-06-06|7928|2818229|777929
764295|1201|COVID-19 Relief Fund|2020-06-06|12895|2818229|777929
764296|1201|COVID-19 Relief Fund|2020-07-07|110500|2818229|777929
764297|1201|COVID-19 Relief Fund|2020-08-06|47742|2818229|777929
764298|1201|COVID-19 Relief Fund|2020-08-06|14936|2818229|777929
764299|1201|COVID-19 Relief Fund|2020-10-03|9703|2818229|777929
764300|1201|COVID-19 Relief Fund|2020-10-03|23003|2818229|777929
764301|1201|Canada Emergency Wage Subsidy|2020-11-24|8925|2818230|777929
764302|1201|Canada Emergency Wage Subsidy|2020-12-08|14890|2818230|777929
764303|1201|Canada Emergency Wage Subsidy|2021-01-14|15443|2818230|777929
764304|1201|Canada Emergency Wage Subsidy|2021-02-09|22556|2818230|777929
764305|1201|Canada Emergency Wage Subsidy|2021-03-18|17819|2818230|777929
764306|1201|Canada Emergency Wage Subsidy|2021-04-06|17819|2818230|777929
764307|1201|Canada Emergency Wage Subsidy|2021-04-27|17819|2818230|777929
764308|1201|Program Funding|2020-11-22|74990|2818234|777929
764309|1201|Sponsorship|2020-09-03|19250|2818235|777929
764310|1201|Sponsorship|2021-01-19|19750|2818235|777929
764311|1201|Licensing Fees|2020-11-22|26240|2818236|777929
764312|1201|Licensing Fees|2021-03-06|24500|2818236|777929
764317|1201|INSURANCE POLICY COMMISSIONS|2020-07-24|7456|2818275|777993
764318|1201|INSURANCE POLICY COMMISSIONS|2020-10-23|6180|2818275|777993
764319|1201|INSURANCE POLICY COMMISSIONS|2021-01-25|5917|2818275|777993
764320|1201|INSURANCE POLICY COMMISSIONS|2021-04-27|5812|2818275|777993
764321|1201|Employee Retention Credit|2021-01-14|13994|2818286|778005
764322|1201|Conference Reimbursement|2020-07-10|5782|2818288|778005
764323|1201|Conference Reimbursement|2020-07-10|7357|2818289|778005
764324|1201|Advertising|2020-10-15|15000|2818293|778008
764325|1201|Advertising|2021-01-20|15000|2818293|778008
764326|1201|Management Fee|2020-07-24|6541|2818295|778008
764327|1201|Management Fee|2020-08-06|6541|2818295|778008
764328|1201|Management Fee|2020-09-25|6541|2818295|778008
764329|1201|Management Fee|2020-10-23|6541|2818295|778008
764330|1201|Management Fee|2020-12-16|6542|2818295|778008
764331|1201|Management Fee|2020-12-17|6542|2818295|778008
764332|1201|Management Fee|2021-01-28|6542|2818295|778008
764333|1201|Management Fee|2021-02-16|6542|2818295|778008
764334|1201|Management Fee|2021-03-16|6542|2818295|778008
764335|1201|Management Fee|2021-04-13|6542|2818295|778008
764336|1201|Management Fee|2021-05-19|6542|2818295|778008
764337|1201|Management Fee|2021-06-11|6542|2818295|778008
764338|1201|Subsidy|2020-07-29|46800|2818315|778015
764339|1201|Subsidy|2021-02-05|48750|2818315|778015
764340|1201|Grant Area Standards|2020-08-11|65315|2818316|778023
764341|1201|Grant Area Standards|2020-10-21|65315|2818316|778023
764342|1201|Grant Area Standards|2021-02-11|101220|2818316|778023
764343|1201|Grant Area Standards|2021-04-26|101220|2818316|778023
764344|1201|Expense Reimbursement|2020-07-01|6979|2818317|778023
764345|1201|Expense Reimbursement - Convention|2020-09-04|6150|2818318|778023
764346|1201|REIMBURSE EQUIPMENT RENTAL|2021-02-08|916|2818355|778040
764347|1201|REIMBURSE SUPPLIES|2021-02-08|1108|2818355|778040
764348|1201|REIMBURSE SUPPLIES|2021-02-18|671|2818355|778040
764349|1201|REIMBURSE SALARY AND PAYROLL TAXES|2020-12-15|315|2818355|778040
764350|1201|REIMBURSE SALARY AND PAYROLL TAXES|2021-02-08|25604|2818355|778040
764351|1201|REIMBURSE SALARY AND PAYROLL TAXES|2021-04-14|514|2818355|778040
764352|1201|REIMBURSE SALARY AND PAYROLL TAXES|2021-04-22|612|2818355|778040
764353|1201|REIMBURSE SALARY AND PAYROLL TAXES|2020-11-13|314|2818355|778040
764354|1201|REIMBURSE SALARY AND PAYROLL TAXES|2020-11-13|345|2818355|778040
764355|1201|REIMBURSE SUPPLIES|2021-01-14|193|2818355|778040
764356|1201|PPP LOAN|2021-05-10|32805|2818356|778040
764357|1201|Grievance Settlement|2020-11-30|8900|2818403|778054
764358|1201|Voice Ad|2020-06-19|6000|2818406|778054
764359|1201|Salary Reimbursement|2020-10-22|35778|2818415|778063
764360|1201|Salary Reimbursement|2021-01-19|36394|2818415|778063
764361|1201|Salary Reimbursement|2021-04-12|35531|2818415|778063
764362|1201|Salary Rfeimbursement|2021-06-29|36468|2818415|778063
764363|1201|Formula Assistance|2020-09-11|6480|2818415|778063
764364|1201|Formula Assistance|2020-12-14|6480|2818415|778063
764365|1201|Rebate|2020-07-21|6740|2818415|778063
764366|1201|Rebate|2020-11-13|8009|2818415|778063
764367|1201|Rebate|2021-02-04|7510|2818415|778063
764368|1201|Rebate|2021-04-28|15399|2818415|778063
764369|1201|Insurance recovery|2021-01-21|5831|2818416|778063
764370|1201|JANUARY 2021|2021-03-31|11064|2818424|778066
764371|1201|FEBRUARY 2021|2021-04-30|10883|2818424|778066
764372|1201|MARCH 2021|2021-05-28|13070|2818424|778066
764373|1201|APRIL 2021|2021-06-30|12581|2818424|778066
764374|1201|MAY 2020|2020-07-31|11957|2818424|778066
764375|1201|JUNE 2020|2020-08-27|13312|2818424|778066
764376|1201|JULY 2020|2020-09-30|10979|2818424|778066
764377|1201|AUGUST 2020|2020-10-29|10856|2818424|778066
764378|1201|SEPTEMBER 2020|2020-11-30|13301|2818424|778066
764379|1201|OCTOBER 2020|2020-12-31|10901|2818424|778066
764380|1201|NOVEMBER 2020|2021-01-29|11010|2818424|778066
764381|1201|DECEMBER 2020|2021-02-26|13716|2818424|778066
764382|1201|MAY 2020|2020-07-31|13153|2818426|778066
764383|1201|JUNE 2020|2020-08-27|14643|2818426|778066
764384|1201|JULY 2020|2020-09-30|12077|2818426|778066
764385|1201|AUGUST 2020|2020-10-29|11941|2818426|778066
764386|1201|SEPTEMBER 2020|2020-11-30|14631|2818426|778066
764387|1201|OCTOBER 2020|2020-12-31|11991|2818426|778066
764388|1201|NOVEMBER 2020|2021-01-29|12111|2818426|778066
764389|1201|DECEMBER 2020|2021-02-26|15088|2818426|778066
764390|1201|JANUARY 2021|2021-03-31|12171|2818426|778066
764391|1201|FEBRUARY 2021|2021-04-30|11971|2818426|778066
764392|1201|MARCH 2021|2021-05-28|14377|2818426|778066
764393|1201|APRIL 2021|2021-06-30|13839|2818426|778066
764394|1201|SEPTEMBER 2020|2020-11-30|5671|2818427|778066
764395|1201|DECEMBER 2020|2021-02-26|5848|2818427|778066
764396|1201|MARCH 2021|2021-05-28|5572|2818427|778066
764397|1201|APRIL 2021|2021-06-30|5363|2818427|778066
764398|1201|MAY 2020|2020-07-31|5098|2818427|778066
764399|1201|JUNE 2020|2020-08-27|5675|2818427|778066
764400|1201|MAY 2020|2020-07-31|6461|2818428|778066
764401|1201|JUNE 2020|2020-08-27|7193|2818428|778066
764402|1201|JULY 2020|2020-09-30|6039|2818428|778066
764403|1201|AUGUST 2020|2020-10-29|5866|2818428|778066
764404|1201|SEPTEMBER 2020|2020-11-30|7187|2818428|778066
764405|1201|OCTOBER 2020|2020-12-31|5890|2818428|778066
764406|1201|NOVEMBER 2020|2021-01-29|5949|2818428|778066
764407|1201|DECEMBER 2020|2021-02-26|7411|2818428|778066
764408|1201|JANUARY 2021|2021-03-31|5978|2818428|778066
764409|1201|FEBRUARY 2021|2021-04-30|5880|2818428|778066
764410|1201|MARCH 2021|2021-05-28|7062|2818428|778066
764411|1201|APRIL 2021|2021-06-30|6798|2818428|778066
764412|1201|WORKING DUES REBATE|2020-08-21|22000|2818457|778087
764624|1201|PAYROLL EXPENSE REIMBURSEMENT|2021-01-20|38188|2819306|780701
764414|1201|WORKING DUES REBATE|2020-10-26|11000|2818457|778087
764415|1201|WORKING DUES REBATE|2020-12-04|11000|2818457|778087
764416|1201|WORKING DUES REBATE|2021-01-11|11000|2818457|778087
764417|1201|WORKING DUES REBATE|2021-03-19|22000|2818457|778087
764418|1201|WORKING DUES REBATE|2021-04-02|11000|2818457|778087
764419|1201|WORKING DUES REBATE|2021-05-10|11000|2818457|778087
764420|1201|Reimbursement for Expenses|2020-11-19|6531|2818495|778113
764421|1201|Reimbursement for Expenses|2020-07-14|5825|2818498|778113
764422|1201|Reimbursement for Expenses|2020-09-10|7200|2818498|778113
764423|1201|Reimbursement for Expenses|2020-11-10|5115|2818498|778113
764424|1201|PAYCHECK PROTECTION PROGRAM|2021-03-20|89247|2818503|778137
764425|1201|INSURANCE PROCEEDS|2021-02-09|25459|2818504|778137
764426|1201|REIMBURSEMENT FOR WAGES AND BENEFITS FOR DIRECTOR|2020-07-10|13867|2818515|778138
764427|1201|REIMBURSEMENT FOR WAGES AND BENEFITS FOR DIRECTOR|2020-08-13|17023|2818515|778138
764428|1201|REIMBURSEMENT FOR WAGES AND BENEFITS FOR DIRECTOR|2020-09-11|13867|2818515|778138
764429|1201|REIMBURSEMENT FOR WAGES AND BENEFITS FOR DIRECTOR|2020-10-16|13867|2818515|778138
764430|1201|REIMBURSEMENT FOR WAGES AND BENEFITS FOR DIRECTOR|2020-11-19|17185|2818515|778138
764431|1201|REIMBURSEMENT FOR WAGES AND BENEFITS FOR DIRECTOR|2020-12-18|14021|2818515|778138
764432|1201|REIMBURSEMENT FOR WAGES AND BENEFITS FOR DIRECTOR|2021-01-20|17215|2818515|778138
764433|1201|REIMBURSEMENT FOR WAGES AND BENEFITS FOR DIRECTOR|2021-02-12|14021|2818515|778138
764434|1201|REIMBURSEMENT FOR WAGES AND BENEFITS FOR DIRECTOR|2021-03-08|14021|2818515|778138
764435|1201|REIMBURSEMENT FOR WAGES AND BENEFITS FOR DIRECTOR|2021-04-23|14021|2818515|778138
764436|1201|REIMBURSEMENT FOR WAGES AND BENEFITS FOR DIRECTOR|2021-05-14|17215|2818515|778138
764437|1201|REIMBURSEMENT FOR WAGES AND BENEFITS FOR DIRECTOR|2021-06-21|14220|2818515|778138
764438|1201|REIMBURSEMENT FOR PURCHASE OF CAR & GP ECO DEV DON|2020-10-23|11500|2818521|778138
764439|1201|ADMINISTRATIVE REIMBURSEMENT|2020-07-17|25602|2818526|778140
764440|1201|ADMINISTRATIVE REIMBURSEMENT|2020-10-08|32119|2818526|778140
764441|1201|ADMINISTRATIVE REIMBURSEMENT|2021-01-08|18390|2818526|778140
764442|1201|ADMINISTRATIVE REIMBURSEMENT|2021-04-12|19309|2818526|778140
764443|1201|Reimbursement for Shared Expense|2020-08-18|14630|2818574|779369
764444|1201|Reimbursement for Shared Expense|2021-01-27|16621|2818574|779369
764445|1201|Grant for training|2020-10-23|180001|2818593|779376
764446|1201|MEMBERSHIP DUES CHECKOFF RECEIPTS|2020-07-13|6395|2818600|779380
764447|1201|MEMBERSHIP DUES CHECKOFF RECEIPTS|2020-08-12|9410|2818600|779380
764448|1201|MEMBERSHIP DUES CHECKOFF RECEIPTS|2020-09-14|7790|2818600|779380
764449|1201|MEMBERSHIP DUES CHECKOFF RECEIPTS|2020-10-23|8446|2818600|779380
764450|1201|MEMBERSHIP DUES CHECKOFF RECEIPTS|2020-11-13|6520|2818600|779380
764451|1201|MEMBERSHIP DUES CHECKOFF RECEIPTS|2020-12-18|5876|2818600|779380
764452|1201|MEMBERSHIP DUES CHECKOFF RECEIPTS|2021-01-14|6513|2818600|779380
764453|1201|MEMBERSHIP DUES CHECKOFF RECEIPTS|2021-02-16|5675|2818600|779380
764454|1201|MEMBERSHIP DUES CHECKOFF RECEIPTS|2021-04-12|6404|2818600|779380
764455|1201|MEMBERSHIP DUES CHECKOFF RECEIPTS|2021-05-12|5165|2818600|779380
764456|1201|MEMBERSHIP DUES CHECKOFF RECEIPTS|2021-06-11|5969|2818600|779380
764457|1201|MEMBERSHIP DUES CHECKOFF RECEIPTS|2020-07-27|12411|2818603|779380
764458|1201|MEMBERSHIP DUES CHECKOFF RECEIPTS|2020-08-24|11844|2818603|779380
764459|1201|MEMBERSHIP DUES CHECKOFF RECEIPTS|2020-09-23|19815|2818603|779380
764460|1201|MEMBERSHIP DUES CHECKOFF RECEIPTS|2020-10-21|15791|2818603|779380
764461|1201|MEMBERSHIP DUES CHECKOFF RECEIPTS|2020-11-23|17808|2818603|779380
764462|1201|MEMBERSHIP DUES CHECKOFF RECEIPTS|2020-12-22|17759|2818603|779380
764463|1201|MEMBERSHIP DUES CHECKOFF RECEIPTS|2021-01-22|14148|2818603|779380
764464|1201|MEMBERSHIP DUES CHECKOFF RECEIPTS|2021-02-25|13734|2818603|779380
764465|1201|MEMBERSHIP DUES CHECKOFF RECEIPTS|2021-03-22|10483|2818603|779380
764466|1201|MEMBERSHIP DUES CHECKOFF RECEIPTS|2021-04-20|12566|2818603|779380
764467|1201|MEMBERSHIP DUES CHECKOFF RECEIPTS|2021-05-20|7445|2818603|779380
764468|1201|MEMBERSHIP DUES CHECKOFF RECEIPTS|2021-06-23|7605|2818603|779380
764469|1201|ORGANIZING SUBSIDY|2020-09-30|33692|2818638|779387
764470|1201|Fee for bookkeeping services|2021-06-30|29623|2818655|780544
764471|1201|Insurance Promotion|2020-07-24|7490|2818657|780547
764472|1201|Insurance Promotion|2020-10-23|8281|2818657|780547
764473|1201|Insurance Promotion|2021-01-25|7381|2818657|780547
764474|1201|Insurance Promotion|2021-04-27|7967|2818657|780547
764475|1201|Insurance Promotion|2021-04-27|57|2818657|780547
764476|1201|INSURANCE CLAIM PROCEEDS - STORM DAMAGE|2020-08-31|5405|2818677|780558
764477|1201|Reimbursed Expenses|2020-08-26|9576|2818686|780572
764478|1201|Reimbursed Expenses|2021-03-12|7515|2818686|780572
764479|1201|Reimbursed Expenses|2021-04-15|6248|2818686|780572
764480|1201|Reimbursed Expenses|2021-06-30|20525|2818686|780572
764484|1201|Insurance Testimonial Film Underwriting|2021-04-15|297467|2818733|780578
764485|1201|Performance Guarntee Reimbursement|2021-06-24|8523|2818733|780578
764486|1201|Letter of Credit Drawdown|2021-01-15|646300|2818734|780578
764487|1201|Letter of Credit Drawdown|2021-02-15|391000|2818734|780578
764488|1201|Letter of Credit Drawdown|2021-03-15|604000|2818734|780578
764489|1201|Letter of Credit Drawdown|2021-04-15|419000|2818734|780578
764490|1201|Letter of Credit Drawdown|2021-05-15|302200|2818734|780578
764491|1201|Letter of Credit Drawdown|2021-06-15|465000|2818734|780578
764492|1201|Letter of Credit Drawdown|2020-07-15|661000|2818734|780578
764493|1201|Letter of Credit Drawdown|2020-08-15|381600|2818734|780578
764494|1201|Letter of Credit Drawdown|2020-09-15|373030|2818734|780578
764495|1201|Letter of Credit Drawdown|2020-10-15|347000|2818734|780578
764496|1201|Letter of Credit Drawdown|2020-11-15|547030|2818734|780578
764497|1201|Letter of Credit Drawdown|2020-12-15|441000|2818734|780578
764498|1201|Insurance Royalty|2021-06-01|297520|2818735|780578
764499|1201|Insurance Royalty|2021-01-01|297520|2818735|780578
764500|1201|Insurance Royalty|2021-02-01|297520|2818735|780578
764501|1201|Insurance Royalty|2021-03-01|297520|2818735|780578
764502|1201|Insurance Royalty|2021-04-01|297520|2818735|780578
764503|1201|Insurance Royalty|2021-05-01|297520|2818735|780578
764504|1201|Refund of overpaid payroll taxes|2021-03-18|37163|2818736|780578
764505|1201|Insurance Royalty|2020-07-20|222911|2818737|780578
764506|1201|Insurance Royalty|2020-10-20|245924|2818737|780578
764507|1201|Insurance Royalty|2021-01-20|230684|2818737|780578
764508|1201|Insurance Royalty|2021-04-20|238258|2818737|780578
764509|1201|Postage Meter Reimbursement|2021-05-27|58014|2818738|780578
764510|1201|Management Fees|2020-09-10|7882|2818740|780578
764511|1201|Management Fees|2020-11-12|6206|2818740|780578
764512|1201|Management Fees|2021-02-04|7446|2818740|780578
764513|1201|Management Fees|2021-05-20|5628|2818740|780578
764514|1201|Insurance Claim|2021-02-04|5000|2818741|780578
764515|1201|PREMIUM REFUND|2020-12-17|17045|2818828|780587
764516|1201|TRAINING CENTER GRANT|2020-07-02|63974|2818829|780587
764517|1201|CASH BOND DEPOSIT|2020-10-01|5000|2818830|780587
764518|1201|CASH BOND DEPOSIT|2020-12-11|7500|2818831|780587
764519|1201|GRANT FOR NECK GAITORS FOR MEMBERSHIP|2020-11-30|6340|2818853|780616
764520|1201|REIMBURSEMENT FOR ADMINISTRATIVE EXPENSES|2020-07-27|47200|2818862|780641
764521|1201|FUNDS FOR COVID-19 DONATION TO HOSPITALS|2020-12-23|10000|2818862|780641
764522|1201|REIMBURSEMENT FOR ADMINISTRATIVE EXPENSE|2021-02-04|47200|2818862|780641
764523|1201|ADVANCED ROYALTY REVENUE|2021-03-24|8342|2818875|780644
764524|1201|EXPENSE REIMBURSEMENT|2021-01-31|3023|2818921|780654
764525|1201|EXPENSE REIMBURSEMENT|2021-04-30|2753|2818921|780654
764526|1201|EXPENSE REIMBURSEMENT|2021-06-30|259|2818921|780654
764527|1201|Reimbursement|2020-07-21|14739|2818955|780664
764528|1201|Reimbursement|2020-08-01|15525|2818955|780664
764529|1201|Reimbursement|2020-09-30|23864|2818955|780664
764530|1201|Reimbursement|2021-04-26|27500|2818955|780664
764531|1201|Reimbursement|2021-04-24|4898|2818955|780664
764532|1201|EMPLOYEE RETENTION CREDIT|2020-10-26|5029|2819004|780685
764534|1201|2ND QTR REVIEW|2021-02-22|9814|2819034|780697
764535|1201|REIMBURSEMENT FOR FUNDRAISER EXPENSES|2020-11-30|11592|2819124|780701
764536|1201|REIMBURSEMENT FOR FUNDRAISER EXPENSES|2020-12-15|40865|2819124|780701
764537|1201|PAYROLL EXPENSE REIMBURSEMENT|2020-10-21|18430|2819131|780701
764538|1201|PAYROLL EXPENSE REIMBURSEMENT|2020-11-10|7745|2819131|780701
764539|1201|PAYROLL EXPENSE REIMBURSEMENT|2020-12-31|6196|2819131|780701
764540|1201|EXPENSE REIMBURSEMENT|2020-08-31|7100|2819132|780701
764541|1201|EXPENSE REIMBURSEMENT|2021-02-16|41250|2819132|780701
764542|1201|EXPENSE REIMBURSEMENT|2020-11-30|15543|2819151|780701
764543|1201|EXPENSE REIMBURSEMENT|2020-12-15|11560|2819152|780701
764544|1201|REIMBURSEMENT FOR RENNOVATIONS|2020-09-21|315502|2819259|780701
764545|1201|REIMBURSEMENT FOR RENNOVATIONS|2020-11-30|76910|2819259|780701
764546|1201|REFUND|2021-01-08|5563|2819273|780701
764547|1201|EXPENSE REIMBURSEMENT|2020-11-30|12363|2819280|780701
764548|1201|RECEIPT OF ALL LOCAL FUNDS AT DISSOLUTION|2021-04-06|444674|2819281|780701
764549|1201|EXPENSE REIMBURSEMENT|2021-05-24|14276|2819282|780701
764550|1201|DC GRANT|2021-02-23|62500|2819283|780701
764551|1201|DC GRANT|2021-06-17|62500|2819283|780701
764552|1201|CONVENTION DINNER REIMBURSEMENT|2020-09-15|13113|2819283|780701
764553|1201|PUERTO RICO GRANT|2020-09-15|41667|2819283|780701
764554|1201|EXPENSE REIMBURSEMENT|2021-06-17|9517|2819284|780701
764555|1201|PAYROLL EXPENSE REIMBURSEMENT|2020-10-19|6688|2819285|780701
764556|1201|INSURANCE CLAIM|2020-08-27|5842|2819286|780701
764557|1201|EXPENSE REIMBURSEMENT|2021-04-21|6000|2819288|780701
764558|1201|INSURANCE CLAIM|2020-07-17|5179|2819289|780701
764559|1201|INSURANCE DIVIDENDS|2021-06-17|20685|2819289|780701
764560|1201|INSURANCE CLAIM|2021-05-06|10437|2819289|780701
764561|1201|INSURANCE CLAIM|2021-03-16|5300|2819289|780701
764562|1201|PAYROLL EXPENSE REIMBURSEMENT|2020-12-15|11049|2819290|780701
764563|1201|PAYROLL EXPENSE REIMBURSEMENT|2020-12-28|42566|2819290|780701
764564|1201|PAYROLL EXPENSE REIMBURSEMENT|2021-01-21|52521|2819290|780701
764565|1201|PAYROLL EXPENSE REIMBURSEMENT|2021-01-26|24860|2819290|780701
764566|1201|PAYROLL EXPENSE REIMBURSEMENT|2021-03-24|111754|2819290|780701
764567|1201|PAYROLL EXPENSE REIMBURSEMENT|2021-04-21|44581|2819290|780701
764568|1201|PAYROLL EXPENSE REIMBURSEMENT|2021-05-24|55726|2819290|780701
764569|1201|PAYROLL EXPENSE REIMBURSEMENT|2021-05-24|11377|2819290|780701
764570|1201|PAYROLL EXPENSE REIMBURSEMENT|2021-06-29|11377|2819290|780701
764571|1201|PAYROLL EXPENSE REIMBURSEMENT|2021-06-29|44580|2819290|780701
764572|1201|PAYROLL EXPENSE REIMBURSEMENT|2021-06-29|14222|2819290|780701
764573|1201|REIMBUSEMENT FOR CONVENTION ROOMS|2020-10-19|33550|2819290|780701
764574|1201|PAYROLL EXPENSE REIMBURSEMENT|2020-09-30|286272|2819290|780701
764575|1201|PAYROLL EXPENSE REIMBURSEMENT|2020-10-21|43309|2819290|780701
764576|1201|PAYROLL EXPENSE REIMBURSEMENT|2020-11-30|27016|2819290|780701
764577|1201|PAYROLL EXPENSE REIMBURSEMENT|2020-11-30|26690|2819290|780701
764578|1201|PAYROLL EXPENSE REIMBURSEMENT|2020-12-15|13811|2819290|780701
764579|1201|PAYROLL EXPENSE REIMBURSEMENT|2020-12-15|11049|2819290|780701
764580|1201|PAYROLL EXPENSE REIMBURSEMENT|2020-12-15|11049|2819290|780701
764581|1201|PAYROLL EXPENSE REIMBURSEMENT|2020-12-15|13811|2819290|780701
764582|1201|PAYROLL EXPENSE REIMBURSEMENT|2020-12-15|11049|2819290|780701
764583|1201|PAYROLL EXPENSE REIMBURSEMENT|2020-12-15|13811|2819290|780701
764584|1201|PAYROLL EXPENSE REIMBURSEMENT|2020-12-15|11049|2819290|780701
764585|1201|EXPENSE REIMBURSEMENT|2020-11-30|6294|2819291|780701
764586|1201|EXPENSE REIMBURSEMENT|2020-12-22|5214|2819292|780701
764587|1201|PAYROLL EXPENSE REIMBURSEMENT|2020-10-21|7679|2819293|780701
764588|1201|FUNDS FROM DISSOLUTION OF LOCAL 2799|2021-03-16|22697|2819297|780701
764589|1201|FUNDS FROM DISSOLUTION OF LOCAL 2799|2021-03-16|32939|2819297|780701
764590|1201|FUNDS FROM DISSOLUTION OF LOCAL 2799|2021-03-16|14214|2819297|780701
764591|1201|FUNDS FROM DISSOLUTION OF LOCAL 2799|2021-03-16|5823|2819297|780701
764592|1201|FUNDS FROM DISSOLUTION OF LOCAL 2786|2021-03-16|18454|2819298|780701
764593|1201|FUNDS FROM DISSOLUTION OF LOCAL 2786|2021-03-16|10972|2819298|780701
764594|1201|FUNDS FROM DISSOLUTION OF LOCAL 2837|2021-03-16|59016|2819299|780701
764595|1201|ARBITRATION SETTLEMENT|2021-05-11|5000|2819300|780701
764596|1201|PROPERTY TAX REFUND|2021-05-28|8717|2819301|780701
764597|1201|REFUND FOR LEASE BUYOUT|2020-08-21|11556|2819302|780701
