OID|DESCRIPTION|AMOUNT|RPT_ID
151100|Dues Payable|51505|783029
150431|WITHDRAWAL LIB. FROM MULTI-EMPLOYER PENSION PLAN|95676|782231
150432|COMPENSABLE ABSENCE|15100|782231
149684|Severance Payable|164070|766189
149685|EIDL Payable|10000|766189
150494|PAYROLL WITHHOLDING ACCRUALS|3097|782288
150496|DUE TO AFFILIATES CLEARING ACCOUNT|51495|782288
150495|DUE TO JATF|3639|782288
150429|Due to International Office|24345|782226
150426|Accrued wages|13513|782226
150428|Accrued taxes and withholding|6126|782226
150427|Accrued compensated absences|40749|782226
149697|CAPITAL LEASE OBLIGATION - CURRENT|257|766202
150764|Accrued Payroll Liabilities|19386|782680
150765|Deferred Revenue Dues|26162|782680
149582|due International office-percapita|48042|757293
150602|Security deposits payable|5340|782497
150604|Accrued wages liability|213401|782497
150603|Payroll, taxes and other withholdings payable|20564|782497
149771|ACCRUED SALARIES|15054|773479
149773|IBEW PER CAPITA PAYABLE|4020|773479
149772|ACCRUED PAYROLL TAX|1151|773479
149740|Payroll withholdings|2539|770860
149970|PAYROLL TAXES|5307|777793
149973|OVERDRAFT|7467|777793
149972|DUE TO MEMBERS ESCROW|48667|777793
149971|GARNISHMENT PAYABLE|4983|777793
150690|DEFERRED INCOME DUES PAID IN ADVANCE|294339|782591
150692|DUE TO IUOE LOCAL 825 SCHOLARSHIP FUND|66552|782591
150691|PAYROLL WITHHOLDINGS NOT REMITTED|14707|782591
150333|PAYROLL TAXES AND WITHHOLDINGS|75|782113
150401|Payroll Taxes Payable|2210|782163
151267|PAYROLL WITHHOLDINGS NOT REMITTED AT YEAR END|12213|785430
150146|Payroll Taxes|961|780845
150816|ACCRUED SALARIES AND VACATION|121632|782766
150818|DEFERRED REVENUE|1441|782766
150817|SPECIAL ASSESSMENT - ELECTRICAL WELFARE TRUST FUND|40004|782766
150972|PAYROLL TAXES WITHHELD AND PAYABLE|1853|782910
150973|CHASE CREDIT CARD PAYABLE|399|782910
149601|UNEARNED DUES|65940|765243
149606|TENANT SECURITY DEPOSIT|4790|765243
149605|TEMPO PAYABLE|0|765243
149604|ACCRUED AND WITHHELD PAYROLL TAXES|5563|765243
149603|ACCRUED PENSION|1548|765243
149602|UNEARNED RENT|2045|765243
150188|Credit card payable|2730|781910
150191|Accrued real estate taxes|5578|781910
150190|Withheld and accrued payroll taxes|9059|781910
150189|Due to International|54878|781910
150282|Payroll tax withholding liability|1102|782042
150923|PAYROLL WITHHOLDING ITEMS|2378|782868
151273|PAYROLL TAXES WITHHELD|320|785499
151275|PEF WITHHELD|366|785499
151274|401K CONTRIBUTIONS WITHHELD|10269|785499
151075|Credit Card Payable|3603|783014
151079|Due from Brotherhood Fund|40|783014
151078|Due from JATC|1392|783014
151077|Payroll Deductions Payable|231|783014
151076|Payroll Taxes Payable|1197|783014
150649|CREDIT CARD PAYABLE|1423|782551
150650|DEATH BENEFITS PAYABLE|29211|782551
150463|Death Benefits|3600|782256
150467|Contractors Over Under|8597|782256
150466|Contractors Bond|3000|782256
150465|Due to Apprenticeship Fund|42204|782256
150464|International Iron Workers Headquarters|17124|782256
150902|ACCRUED BTD AND CAP FEES|1653|782862
150903|ACCRUED PAYROLL TAXES|1593|782862
150061|DUE TO INTERNATIONAL HEADQUARTERS|16132|780580
150063|MEMBER FUNDS|42218|780580
150062|PAYROLL RELLATED WITHHOLDING AND TAXES|4624|780580
150291|PAYROLL WITHHOLDINGS|1180|782055
150518|UNREMITTED DUES|15003|782319
150019|EMPLOYEE WITHHELD PAYROLL TAXES|431|778040
150857|PREPAID DUES|21469|782828
150859|DUE TO RELATED ENTITY|18728|782828
150858|PAYROLL LIABILITIES|1901|782828
150300|PAYROLL WITHHOLDINGS|154|782069
150301|BOND HELD|4000|782069
150798|OTHER LIABILITIES|50|782739
149870|Payroll tax|2542|773863
150142|ACCRUED SALARIES PAYABLE|10797|780839
150144|PER CAPITA PAYABLE|61134|780839
150143|PAYROLL TAXES WITHELD|4020|780839
150587|Per Capita Expenses Payable|121070|782474
150589|Security Deposit|1000|782474
150588|Payroll Liabilities|14084|782474
151194|SC Unemployment Tax|2|783169
150585|Payroll Liabilities|3630|782472
150586|Dues Payable - Intl Per Cap|6130|782472
150476|VACATION CONTRIBUTIONS PAYABLE|78160|782269
150477|PAYROLL TAX WITHHOLDINGS|3256|782269
150680|PAYROLL TAXES WITHHOLDING AND OTHER|776|782578
149991|BENEFICIARY PAYMENT NOT REMITTED AT YEAR END|20000|777905
149992|PAYROLL WITHHOLDINGS NOT REMITTED AT YEAR END|998|777905
150043|PAYROLL WITHHOLDINGS NOT REMITTED AT YEAR END|9750|779387
150047|MEMBERS LIFE INSURANCE PREMIUMS TO BE REMITTED|21183|780557
150493|Payroll Taxes and Withholding Payable|3023|782287
150766|Accrued Expenses|1293476|782684
150770|Security Deposts|107870|782684
150769|VA Local|684837|782684
150768|Deferred Revenue|659156|782684
150767|Accrued Compensation|10198957|782684
151228|Payroll Taxes|13998|783288
150027|MEMBER LIFE INS. PREMIUMS NOT REMITTED AT YEAR END|11797|778103
150028|PAYROLL WITHHOLDINGS NOT REMITTED AT Y/E|2259|778103
150979|Due to International Headquarters|7960|782921
150994|Due to Intl - Organizing Per Cpaita|3516|782921
150993|MidAmerica Pension|2624|782921
150992|Welfare Liability|5856|782921
150991|Assessment Liability|761|782921
150990|SMA Pension|2280|782921
150989|Vacation Liability|984|782921
150988|LUDC Pension|4745|782921
150987|Illinois State Unemployment|27|782921
150986|Federal Unemployment|130|782921
150985|Illinois Tax Withholding|307|782921
150984|Iowa Tax Withhholding|1384|782921
150983|Due to Death Benefit Fund|30|782921
150982|Due to Members - Advanced Dues|18790|782921
150981|Due to District Council - Per Cap|447|782921
150980|Due to IMPACT|5964|782921
151063|TENANT SECURITY DEPOSITS|11481|782999
150343|PAYROLL LIABILITIES|368|782124
151155|Employee Payroll Withholding|5280|783085
151263|International Per Capita Payable|12609|785412
151198|PAYROLL TAXES PAYABLE|787|783177
151195|Payroll tax liabilities|441|783171
151197|Union withheld liabilities|6459|783171
151196|Benefits withheld liabilitries|17368|783171
150819|Dues payable to International Affiliate|32000|782767
151268|Payroll Related Liabilities|215|785453
149904|Due to PAC|70|777416
149905|Employer bonds payable|30000|777416
149748|CHECKOFF & COPE W/H|41421|773309
149751|DISASTER RELIEF FUND|1750|773309
149750|RETIREMENT PAYABLE|2000|773309
149749|CHILD SUPPORT|2790|773309
150763|PAYROLL LIABILITIES|8468|782677
150308|Payroll withholdings|428|782080
150248|PAYROLL WITHHOLDINGS PAYABLE AT YEAR END|6081|782010
150836|Payroll Liabilities and Withholdings|1253|782789
150671|Payroll Taxes Payable|1387|782566
150414|Accrued Vacation|2513|782211
150443|Payroll Liabilities|419|782245
150239|WITHHELD DUES|661|781989
150252|Unremitted collections on behalf of affiliates|17533|782013
150253|Payroll tax withholdings|3818|782013
151003|STATE WITHHOLDING|1121|782928
151005|STATE UNEMPLOYMENT|106|782928
151004|FEDERAL UNEMPLOYMENT|161|782928
150510|PAYROLL TAXES PAYABLE|6252|782304
150512|MEMBER CREDIT BALANCE|12251|782304
150511|ACCRUED EXPENSES|10140|782304
150900|Accrued payroll taxes|0|782859
150901|Accrued benefits|19953|782859
150295|ACCRUED REAL ESTATE TAXES|24463|782058
150292|ACCRUED PAYROLL AND PAYROLL TAXES|3944|782058
150294|MARKET ADVANCE|3617118|782058
150293|CREDIT CARD PAYABLE|3301|782058
150297|ACCRUED PENALTY|2954|782058
150296|SECURITY DEPOSITS|8000|782058
150433|DEFERRED INCOME - GENERAL |84356|782239
150437|RELATED ORGANIZATIONS|2440|782239
150436|NET TRADES PENDING SETTLEMENT|4896|782239
150435|DEFERRED INCOME - LLC|51495|782239
150434|DEFERRED INCOME - MORTUARY|39135|782239
151068|Due to affiliates and related parties|2355|783008
151069|Payroll withholdings|9502|783008
150855|Payroll Withholdings|16801|782824
150856|Fringe Benefits Withholding|45832|782824
150241|Payroll Deductions - COPE|73|781995
150243|Prepaid Dues|54340|781995
150242|Payroll Deductions - 401 (k)|840|781995
149989|WITHHELD PAYROLL TAXES|58|777852
150161|Work Fee|43021|780872
150164|Vacation Time Earned But Not Paid Out|1860047|780872
150163|Vacation A Payable|59304|780872
150162|CLIC Payable|13566|780872
149574|PAYROLL TAX WITHHOLDING|18000|756478
150483|Accrued Expenses|1091932|782280
150484|Escrow Deposits|183221|782280
151293|Deferred Revenue|67270|785543
150578|Payroll Tax Withholdings|2921|782442
145177|SCHOLARSHIPS OUTSTANDING|85000|744263
149879|SCHOLARSHIPS OUTSTANDING|85000|776509
149880|DUE TO NYC & VICINITY DISTRICT COUNCIL OF CARPENTE|82671|776509
145178|DUE TO NYC & VICINITY DISTRICT COUNCIL OF CARPENTE|82671|744263
150717|Accrued Expenses|11535|782607
150718|Per Capita Payable|70683|782607
150033|Credit Card Payable|6846|778591
150034|Payroll Liabilities|1566|778591
149594|DUE TO AFFILIATES|22961|765238
150961|Due to PATCH Foundation|3192|782893
150344|MEMBER LIFE INS. PREMIUMS NOT REMITTED AT YEAR END|17637|782126
150345|REAL ESTATE TAX WITHHOLDINGS|15466|782126
150330|NONE|0|782106
149983|Vacation on Behalf of Members|54591|777825
150310|WITHDRAWAL LIB. FROM MULTI-EMPLOYER PENSION PLAN|240822|782083
150311|COMPENSABLE ABSENCE|27200|782083
151026|Accrued vacation|227151|782956
151029|Agency fees held in escrow|96689|782956
151028|Payroll withholdings|300|782956
151027|Dues due to Local Unions|9748|782956
150974|Accrued CTO|70858|782911
150409|PAYROLL LIABILTIES|1534|782176
151120|PCT Payable|44472|783064
151122|Due to Related Parties|6627|783064
151121|Payroll Withholdings|2344|783064
150925|Accrued Expenses|286101|782870
150928|Postretirement Benefit Obligation|171626|782870
150927|Fiduciary Payables|6495|782870
150926|Per Capita Payables|63322|782870
151271|PAYROLL WITHHOLDINGS|2442|785483
151272|UNEARNED RENT|17723|785483
150590|UNAPPLIED DUES RECEIVED|11820|782480
150591|DUE TO AFFILIATES|6322|782480
150967|PAYROLL RELATED LIABILITIES|6385|782906
149489|Royalty Due Players|56994699|755825
149509|Accrued Salaries Payable|716880|755825
149508|Accrued Mortgage Interest Payable|7654|755825
149507|Accrued Real Estate Tax Payable|560246|755825
149506|Accrued Excise Tax Payable|604255|755825
149505|Accrued Property Tax Payable|33781|755825
149504|Nonqualified Deferred Compensation Plans |2458363|755825
149503|Accrued Vacation Payable|1857749|755825
149502|Accrued NFL Players Inc Expense|667531|755825
149501|Accrued 1133 Building Corporation Expense|56899|755825
149500|Accrued Legal Expense|629056|755825
149499|Other Accrued Expense|413811|755825
149498|Due to Investment Broker|88131|755825
149497|Deferred Gain on Investments|97937812|755825
149496|Deferred Licensing Income|2186714|755825
149495|Deferred Rental Income|246947|755825
149494|Security Deposits|112295|755825
149493|Deferred Compensation Plan (Grantor Trust)|10743622|755825
149492|Deferred Compensation Plan (457 Plan)|3381285|755825
149491|Player Dues Payable|2211969|755825
149490|Minority Interest|1624063|755825
149909|PAYROLL WITHHOLDINGS NOT REMITTED @ Y/E|12576|777550
150215|WITHHELD PAYROLL TAXES|3943|781955
150398|PAYROLL TAXES WITHHELD NOT REMITTED AT YEAR END|16641|782161
150399|DEATH BENEFIT DUE TO MEMBER BENEFICIARY|1370|782161
151032|PER CAPITA TAXES PAYABLE|56756|782963
151036|DISASTER RELIEF FUND|7200|782963
151035|AMOUNT DUE SEIU - 20% ORGANIZING |84600|782963
151034|ACCRUED PAYROLL WITHHOLDINGS|2735|782963
151033|ACCRUED WAGES|40119|782963
149936|Payroll Tax Withholding|8669|777667
149939|Capital Lease, Net of Current Maturities|12092|777667
149938|Capital Lease, Current Maturities|5374|777667
149937|Active Ballot Club Withholding|7414|777667
149864|CREDIT CARDS|400|773799
150327|Deferred revenue|54758|782105
150329|Employee withholding|6|782105
150328|Accrued vacation|55691|782105
150676|PPP Loan Payable|52300|782575
150677|Per Capita Payable|13222|782575
150181|EMPLOYEE WITHHOLDINGS|3642|781896
150182|SAVINGS PLAN DEPOSITS|535774|781896
151184|Due to Affiliates|145427|783161
151187|Deferred Income|23233|783161
151186|AMEX Credit Card|2960|783161
151185|Payroll Liablites|40504|783161
149894|Payroll withholding and taxes|5946|777400
150065|DUES AND VACATION WITHHOLDING|23909|780587
150066|SECURITY DEPOSIT|5000|780587
150689|N/A|0|782589
151058|Dues Related Payables|572033|782993
151060|Vacation and Sick Leave Liabiilty|953256|782993
151059|Payroll Related Payables|493596|782993
150353|Payroll Withholding Liabilities|430|782134
150772|Accrued Expenses|42500|782688
150774|Accrued Vacation/Sick/Holiday|926366|782688
150773|Due to CNA/NNOC|57132|782688
150721|Due to affiliates|82195|782614
150256|PAYROLL TAX WITHHOLDINGS|3488|782018
151276|Due to Affiliates|11760|785501
150225|CAPITAL LEASE|5721|781975
150226|AMOUNTS DUE TO RELATED PARTY|20682|781975
150072|DUE TO NORTH ATLANTIC ST REGIONAL COUNCIL OF CARP|9750|780641
150410|DUE TO AFFILIATES|750|782181
150820|ACCRUED AND WITHHELD PAYROLL TAXES|5427|782769
150821|CREDIT CARD PAYABLE|6789|782769
150217|Payroll Withholding|1140|781963
150026|CREDIT CARD PAYABLE|200|778087
149875|WITHHELD BENEFITS|891|773960
149877|WITHHELD PAYROLL TAXES AND DUES|3568|774027
149954|WITHHELD PAYROLL TAXES|3278|777742
149982|WITHHELD PAYROLL TAXES|291|777815
150175|Payroll taxes and withholding|15366|780896
150479|DUE TO RELATED PARTY|10250|782274
150480|HELD FOR THE BENEFIT OF OTHERS|23390|782274
150228|Payroll Liabilities|108|781979
150230|Sick and Distressed Fund|16133|781979
150229|Death Benefit Fund|8907|781979
150319|PAYROLL TAXES WITHELD|1881|782094
150247|PAYROLL LIABILITIES|2058|782006
150044|PAYROLL LIABILITIES|2937|780536
150404|PAYROLL TAXES PAYABLE|1498|782167
150407|M.O.R.E. INVESTMENT FUND|704|782167
150406|BOILERMAKERS PENSION FUND|2540|782167
150405|BOILERMAKERS VACATION FUND|7328|782167
150576|Payroll Witholdings|44559|782427
150577|Accrued Vacation|108000|782427
150104|PAYROLL TAXES WITHHELD|2281|780705
150105|PER CAPITAL TAXES|6264|780705
150565|PAYROLL TAXES WITHHELD AND PAYABLE|4119|782398
150629|Payroll Withholdings|10441|782526
150098|PAYROLL TAX LIABILITIES|1890|780695
150474|CREDIT CARD PAYABLE|575|782267
150070|PAYROLL TAXES WITHHELD NOT REMITTED AT YEAR END|775|780599
151255|n/a|0|785217
149836|FUNDS HELD IN TRUST DUE TO OTHERS|238080005|773773
149857|DEFERRED REVENUE - SUBTENANT RENT|746|773773
149856|LORI JO DUBIN MEMORIAL FUND|2097|773773
149855|TRAVEL|19068|773773
149854|GIPR CBA OBLIGATIONS|26800|773773
149853|PAYROLL RELATED|89545|773773
149852|FILM SOCIETY EXPENSES|101997|773773
149851|CREDIT CARD PROCESSING FEES|164649|773773
149850|SAG-AFTRA FOUNDATION DONATIONS|212155|773773
149849|ACCRUED SEVERANCE|252748|773773
149848|EMPLOYEE FSA|262041|773773
149847|AUDIT AND TAX FEES|296350|773773
149846|CONSULTING|309596|773773
149845|FACILITIES / IT RELATED|405270|773773
149844|SUBTENANT SECURITY DEPOSIT|651526|773773
149843|LEGAL FEES|919866|773773
149842|PENSION AND HEALTH|940056|773773
149841|ACCRUED SICK LEAVE|1805218|773773
149840|ACCRUED VACATION|8034251|773773
149839|DUES PAID IN ADVANCE|11458430|773773
149838|DEFERRED REVENUE-ASC606 INITATION FEE LIABILITY|109639074|773773
149837|LEASE LIABILITIES|111959505|773773
150531|PAYROLL TAXES PAYABLE|915|782332
150260|PAYROLL WITHHOLDINGS NOT REMITTED AT YEAR END|15840|782027
151031|COLLECTED ON BEHALF OF AFFILIATES|1734|782958
151030|PAYROLL WITHHOLDINGS NOT REMITTED @ Y/E|832|782958
150949|PAYROLL WITHHOLDINGS NOT REMITTED @ Y/E|1249|782884
150950|MEMBER LIFE INS PREMIUMS NOT REMITTED AT YEAR END|4706|782884
149993|COLLECTED ON BEHALF OF AFFILIATES|5325|777912
149995|PAYROLL WITHHOLDINGS NOT REMITTED @ Y/E|484|777912
149994|INSURANCE PREMIUMS NOT REMITTED @ Y/E|3398|777912
150342|PAYROLL WITHHOLDINGS|1845|782123
150666|N/A|0|782561
149654|SALARIES & PAYROLL TAXES|218252|766116
149658|OTHER|89270|766116
149657|STAFF RETIREE HEALTH BENEFITS|17955682|766116
149656|UNEARNED REVENUE|26918|766116
149655|COMPENSATED ABSENCES|1530274|766116
149563|Credit card payables|7334|756358
149564|Payroll tax payable|551|756358
151207|PAYROLL TAXES PAYABLE|3724|783210
150411|WITHHELD PAYROLL TAXES|1218|782183
150176|WITHHELD PAYROLL TAXES|4364|780897
151289|Payroll taxes payable|946|785535
151248|Local Payable - Other|18023|784450
151244|Accrued Payroll/Expns Payable|6679|784450
151247|PCT Payable|144931|784450
151246|LU Rebates Payable|53295|784450
151245|Vacation Accrual|34552|784450
150861|MUP ASSESSMENT COLLECTED FOR COUNCIL|75373|782833
150159|Vacation deduction payable|800|780866
151290|PAYROLL WITHHOLDINGS|13111|785538
151292|CREDIT CARD PAYABLE|6183|785538
151291|DUE TO AFFILIATES |65560|785538
150240|ACCRUED PAYROLL TAXES|5771|781992
150610|ACCRUED PAYROLL TAXES|1800|782514
150574|ACCRUED PAYROLL TAXES|2119|782418
150575|EYE CARE PAYABLE|40|782418
151242|Puget Sound Energy|717|784438
151243|The Language Exchange|2189|784438
150507|PAYROLL TAXES WITHHELD|53|782302
150508|DEATH BENEFIT PAYABLE|2000|782302
150470|ACCRUED PAYROLL TAXES|364|782260
151067|Payroll Liabilities|2801|783003
150244|Accrued payroll withholding|441|782002
150183|Payroll Tax Withholdings|4291|781898
150185|Deferred Revenue|199172|781898
150184|Accrued Payroll Taxes|4607|781898
151287|Payroll Liability|180|785526
151288|Chase Credit Card|1067|785526
149858|PENSION PAYABLE|12820|773780
149859|PAYROLL TAX PAYABLE|28|773780
